Company Name,Latest Quarter,Revenue,Cost_of_Sales,Gross_Profit,Other_Income,Distribution_Costs,Administrative_Expenses,Other_Expenses,Finance_Costs,Finance_Income
DIPPED PRODUCTS PLC,30/09/2020,20279212,-15530755.00,4748457,122143,-399475,-1697794,,-241110,74392
DIPPED PRODUCTS PLC,30/06/2024,19017826,-15093386.00,3912440,819820,-44176,-408385,,-28578,68728
DIPPED PRODUCTS PLC,30/06/2022,20730476,-15374560.00,5355916,68492,-726944,-1526344,,-706458,2943626
DIPPED PRODUCTS PLC,30/06/2023,18651412,-15374560.00,329682,68492,-726944,-1526344,,-390419,2231731
DIPPED PRODUCTS PLC,30/09/2021,30013255,-23965788.00,6047467,261806,-664407,-2519369,,-411610,377800
DIPPED PRODUCTS PLC,30/09/2023,18372973,-14039036.00,4233937,99899,-744616,-2107915,,-87610,287464
DIPPED PRODUCTS PLC,31/12/2021,42743545,-34387146.00,8356399,372755,-1054840,-3340270,,-600994,475630
DIPPED PRODUCTS PLC,31/12/2024,19041721,-14175982.00,4851739,111189,-727667,-1911062,,-185366,199214
DIPPED PRODUCTS PLC,30/09/2022,41294058,-31989523.00,10004535,202879,-1560815,-3276870,,-748030,2625643
DIPPED PRODUCTS PLC,31/12/2020,32593276,-24447229.00,8146047,176733,-664049,-2580701,,-474000,216676
DIPPED PRODUCTS PLC,30/09/2024,40463469,-32303881.00,8159588,284742,-1064069,-4158345,,-589822,392915
DIPPED PRODUCTS PLC,30/06/2020,4057442,-3067835.00,989607,130692,-147703,-788160,,-162807,55405
DIPPED PRODUCTS PLC,30/06/2021,46386667,-34456902.00,11829765,677722,-3837952,-1423006,,-618834,465822
DIPPED PRODUCTS PLC,31/12/2023,18695355,-15328969.00,3366386,328400,-985878,-1881749,,-133805,3531
DIPPED PRODUCTS PLC,31/03/2020,30562982,-25858623.00,4704359,282508,-701298,-2839359,-14944,-481576,200530
DIPPED PRODUCTS PLC,31/12/2022,61581013,-47318492.00,14262521,372755,-2546693,-5158619,,-881835,2629174
DIPPED PRODUCTS PLC,31/03/2024,73941960,-56882914.00,17059046,819820,-1956362,-8193104,,-1466345,1296256
DIPPED PRODUCTS PLC,31/03/2021,46386667,-34556902.00,11829765,340669,-1012659,-3837952,,-617098,464086
DIPPED PRODUCTS PLC,31/03/2022,55293983,-44561333.00,10732650,833407,-1402795,-4803655,,-1144914,3382082
DIPPED PRODUCTS PLC,31/03/2023,80699311,-60490240.00,19609071,766748,-2660512,-8087179,,-1054716,2645279
REXP,30/09/2023,2139733,-1707131.00,432602,8217,-351682,-88697,,-241110,18360
REXP,31/12/2023,1911892,-1607594.00,334298,6051,-286275,-80581,,-18574,16701
REXP,30/06/2021,1400300,-955738.00,444562,5472,-180649,-59170,,-3778,6925
REXP,31/12/2020,1486022,-978963.00,507059,5388,-135254,-55269,,-2998,4829
REXP,31/12/2019,1426063,-970476.00,455587,-8888,-96637,-50402,,-5394,6315
REXP,30/09/2021,3154379,-2111418.00,1042961,11189,-429436,-135368,,-12697,17440
REXP,30/09/2020,1655885,-1081414.00,574471,7119,-138353,-50836,,-2871,5751
REXP,31/03/2020,989411,-687100.00,302311,5672,-53597,-40471,-12968,-10593,4718
REXP,30/09/2022,2661097,-1979877.00,681220,5978,-353007,-116536,,-45721,97166
REXP,30/06/2022,2767931,-1735091.00,1032840,6593,-473936,-106886,,-647,31407
REXP,31/12/2022,1909048,-1487153.00,421895,7125,-308958,-108560,,-45655,14272
REXP,31/12/2023,2089873,-1670217.00,419656,12027,-239643,-104539,,-20,19362
REXP,30/09/2023,2069984,-1661929.00,408055,10520,-202073,-103343,,-31991,38552
REXP,30/06/2024,1682540,-1439393.00,243147,5526,-193767,-80255,,-15124,21721
