Company Type,Company,Filename,Quarter End Date,Revenue,Cost of Sales,Gross Profit,Other Income,Distribution Costs,Administrative Expenses,Other Expenses,Finance Income,Finance Costs,Profit Before Tax,Tax Expense,Profit for Period,Other Financial Items,Share of Profit of Associate,Profit from Operations
,DIPPED PRODUCTS PLC,04_Nov_202003_04_PM_Quarterly_Financial_report_as_of_30-09-2020.txt,2020-09-30,10960772,-8160399,2800373,74878,-195682,-909634,,23891,-82629,1711197,-321496,1389701,,,
,DIPPED PRODUCTS PLC,08_Aug_202408_31_AM_Interim_Financial_Statements_as_of_30_06_2024.txt,2024-06-30,19186326,-15665738,3520588,162709,-538719,-2059343,-1956362.0,342174,-226323,1203475,-390963,812512,,,
,DIPPED PRODUCTS PLC,09_Aug_202203_30_PM_Quarterly_Financial_report_as_of_30-06-2022.txt,2022-06-30,20730476,-15374560,5355916,68492,-726944,-1526344,,2231731,-706458,7596775,-759796,6410800,,,
,DIPPED PRODUCTS PLC,09_Aug_202302_47_PM_Quarterly_Financial_report_as_of_30-06-2023.txt,2023-06-30,18551212,-15084368,3466844,112676,-348559,-1962193,,450506,-456839,1262435,-542444,719991,,,
,DIPPED PRODUCTS PLC,09_Nov_202104_13_PM_Quarterly_Financial_report_as_of_30-09-2021.txt,2021-09-30,30013255,-23965788,6047467,261806,-664407,-2519369,,377800,-411610,3091687,-619168,2472519,,,
,DIPPED PRODUCTS PLC,09_Nov_202303_34_PM_Quarterly_Financial_report_as_of_30-09-2023.txt,2023-09-30,18272973,-14039036,4233937,99899,-744616,-2107915,,287464,-87610,1681321,-538199,1143122,,,
,DIPPED PRODUCTS PLC,10_Feb_202204_45_PM_Quarterly_Financial_report_as_of_31-12-2021.txt,2021-12-31,42743545,-34387146,8356399,372755,-1054840,-3340270,,475630,-600994,4208680,-808982,3399698,,,
,DIPPED PRODUCTS PLC,10_Feb_202502_49_PM_Interim_Financial_Statements_as_at_31.12.2024.txt,2024-12-31,19343267,-15514434,3828833,555151,-649749,-2210547,,207880,-335803,1399903,-242415,1157488,,,
,DIPPED PRODUCTS PLC,10_Nov_202208_51_AM_Quarterly_Financial_report_as_of_30-09-2022.txt,2022-09-30,10732650,-16614963,833407,-1402795,-4803655,-706458,,7596775,2943626,-1185975,6410800,6410800,,,
,DIPPED PRODUCTS PLC,11_Feb_202103_38_PM_Quarterly_Financial_report_as_of_31-12-2020.txt,2020-12-31,32593276,-24447229,8146047,176733,-664049,-2580701,,216676,-474000,4820706,-941120,3879586,,,
,DIPPED PRODUCTS PLC,11_Nov_202404_08_PM_Quarterly_Financial_report_as_of_30-09-2024.txt,2024-09-30,21277143,-16638143,4639000,122033,-525350,-2099002,-1956362.0,50741,-363499,1824809,-518077,1306732,,,
,DIPPED PRODUCTS PLC,12_Aug_202002_52_PM_Quarterly_Financial_report_as_of_30-06-2020.txt,2020-06-30,9318440,-7370356,1948084,47265,-203793,-788160,,50501,-158481,1160426,-174780,720636,,,
,DIPPED PRODUCTS PLC,12_Aug_202102_39_PM_Quarterly_Financial_report_as_of_30-06-2021.txt,2021-06-30,16781921,-13441706,3340215,159440,-367867,-1423006,,178392,-168694,1718480,-327087,1391393,,,
,DIPPED PRODUCTS PLC,12_Feb_202403_26_PM_Quarterly_Financial_report_as_of_31-12-2023.txt,2023-12-31,18041721,-14175982,3865739,111189,-727667,-1911062,,199214,-185366,1354024,-437799,916225,,,
,DIPPED PRODUCTS PLC,12_Jun_202004_14_PM_Interim_Financial_Statements_as_of_31_03_2020.txt,2020-03-31,7332733,-6179902,1152831,112680,-210763,-719894,-14944.0,86066,-127427,288755,-157198,131557,,,
,DIPPED PRODUCTS PLC,13_Feb_202303_19_PM_Quarterly_Financial_report_as_of_31-12-2022.txt,2022-12-31,61581013,-47318492,14262521,531279,-2546693,-5158619,,2629174,-881835,8835827,-1833840,7001987,,,
,DIPPED PRODUCTS PLC,16_May_202403_23_PM_Quarterly_Financial_report_as_of_31_03_2024.txt,2024-03-31,73941960,-56882914,17059046,819820,-1956362,-8193104,,1296256,-1466345,7567448,-1829471,5737977,,,
,DIPPED PRODUCTS PLC,18_May_202103_06_PM_Quarterly_Financial_report_as_of_31-03-2021.txt,2021-03-31,46386667,-34556902,11829765,340669,-1012659,-3837952,,464086,-617098,7191273,-1357946,5833327,,,
,DIPPED PRODUCTS PLC,19_May_202203_12_PM_Quarterly_Financial_report_as_of_31-03-2022.txt,2022-03-31,55293983,-44561333,10732650,833407,-1402795,-4803655,,3382082,-1144914,7596775,-1185975,6410800,,,
,DIPPED PRODUCTS PLC,19_May_202308_36_AM_Quarterly_Financial_report_as_of_31-03-2023.txt,2023-03-31,80099311,-60490240,19609071,766748,-2660512,-8087179,,2645279,-1054716,11218691,-2716267,8502424,,,
,RICHARD PIERIS EXPORTS PLC,06_Nov_202405_13_PM_Interim_Financial_Statements_as_at_30-09-2024.txt,2024-09-30,3822273,-3146524,675749,13743,-545449,-168952,,40081,-30954,-52602,13447,-39155,-28476.0,-8344.0,-24909.0
,RICHARD PIERIS EXPORTS PLC,10_Feb_202504_41_PM_Interim_Financial_Statements_as_at_31-12-2024.txt,2024-12-31,1941892,-1607594,334298,6051,-286275,-80581,,16701,-18574,-93083,39113,-53970,-60323.0,-4380.0,-26507.0
,RICHARD PIERIS EXPORTS PLC,11_Aug_202103_16_PM_Interim_Financial_Statements_-01st_Quarter_30th_June_2021.txt,2021-06-30,1400300,-955738,444562,5472,-180649,-59170,,6925,-3778,229242,-29798,199429,17792.0,-1912.0,210215.0
,RICHARD PIERIS EXPORTS PLC,11_Feb_202103_25_PM_Quarterly_Financial_Report_as_of_12_31_2020.txt,2020-12-31,1486022,-978963,507059,5388,-135254,-55269,-3514.0,4829,-2998,351500,-52731,298769,35510.0,-4251.0,318410.0
,RICHARD PIERIS EXPORTS PLC,12_Feb_202003_18_PM_Interim_Financial_Statements_as_at_31.12.2019.txt,2019-12-31,1426063,-970476,455587,-8888,-96637,-50402,,6315,-5394,299211,-60160,239036,835.0,-2205.0,299660.0
,RICHARD PIERIS EXPORTS PLC,12_Nov_202104_32_PM_Interim_Financial_Statements_as_of_30_09_2021.txt,2021-09-30,1754079,-1155680,598399,5717,-248786,-76198,,10515,-8919,281156,-37821,243320,1495.0,-1067.0,279132.0
,RICHARD PIERIS EXPORTS PLC,13_Nov_202003_14_PM_Quarterly_Financial_Report_as_of_30_09_2020.txt,2020-09-30,1655885,-1081414,574471,7119,-138353,-50836,-344.0,5751,-2871,391886,-55233,336653,-344.0,-3051.0,392401.0
,RICHARD PIERIS EXPORTS PLC,14_Aug_202003_22_PM_Quarterly_Financial_Report_as_of_31_03_2020.txt,2020-03-31,989411,-687100,302311,5672,-53597,-40471,-12968.0,4718,-10593,261183,-34976,226192,67212.0,-1101.0,200947.0
,RICHARD PIERIS EXPORTS PLC,14_Aug_202003_24_PM_Quarterly_Financial_Report_as_of_30_06_2020.txt,2020-06-30,875553,-608048,267505,5300,-52059,-42785,,3751,-7268,128494,-18498,109981,-40594.0,-5356.0,177961.0
,RICHARD PIERIS EXPORTS PLC,14_Feb_202204_26_PM_Interim_Financial_Statements_-03rd_Quarter_2021_2022.txt,2021-12-31,1778416,-1202429,575987,6878,-299925,-76958,,14012,-15432,213536,-31643,181879,5483.0,3493.0,205982.0
,RICHARD PIERIS EXPORTS PLC,14_Nov_202203_10_PM_Interim_Financial_Statement_Second_Quater_-2022_-RPE.txt,2022-09-30,2661097,-1979877,681220,5978,-353007,-116536,,97166,-45721,285511,-35276,250220,20781.0,-4370.0,217655.0
,RICHARD PIERIS EXPORTS PLC,15_Aug_202205_18_PM_Interim_Financial_Statements_as_of_30-06-2022.txt,2022-06-30,2767931,-1735091,1032840,6593,-473936,-106886,,31407,-647,1171090,-179417,991658,690836.0,-9117.0,458611.0
,RICHARD PIERIS EXPORTS PLC,15_Feb_202303_13_PM_Interim_Financial_Statement_Third_Quater_-2022_2023.txt,2022-12-31,1909048,-1487153,421895,7125,-308958,-108560,,14272,-45655,78596,-26038,52543,12743.0,-5576.0,11502.0
,RICHARD PIERIS EXPORTS PLC,15_Feb_202404_54_PM_Interim_Financial_Statements_as_at_31.12.2023.txt,2023-12-31,2089873,-1670217,419656,12027,-239643,-104539,,19362,20,101072,-30289,70783,-69.0,-5742.0,87501.0
,RICHARD PIERIS EXPORTS PLC,15_Nov_202305_25_PM_Interim_Financial_Statements_as_at_30.09.2023.txt,2023-09-30,2069984,-1661929,408055,10520,-202073,-103343,,38552,-31991,241015,-65148,175852,126432.0,-5137.0,113159.0
,RICHARD PIERIS EXPORTS PLC,31_Jul_202404_36_PM_Interim_Financial_Statements_as_at_30-06-2024.txt,2024-06-30,1682540,-1439393,243147,5526,-193767,-80255,,21721,-15124,20625,-5968,14657,44457.0,-5080.0,-25349.0
,RICHARD PIERIS EXPORTS PLC,31_May_202103_16_PM_Interim_Financial_Statements_-04th_Quarter.txt,2021-03-31,1344850,-921087,423763,5653,-110574,-54818,3500.0,6484,-135,381100,-86255,294845,108575.0,-1348.0,267524.0
,RICHARD PIERIS EXPORTS PLC,31_May_202303_28_PM_Interim_Financial_Statement_Fourth_Quater_-2022_2023.txt,2023-03-31,1702720,-1234766,467954,7967,-304953,-122348,-28681.0,57287,-23469,-247880,471,-247433,-297377.0,-4260.0,19939.0
,RICHARD PIERIS EXPORTS PLC,31_May_202407_41_PM_Interim_Financial_Statements_as_at_31.03.2024.txt,2024-03-31,1486128,-1123186,362942,10240,-154991,-77853,-5258.0,26301,-25610,-58086,-11522,-69608,-189262.0,-4595.0,135080.0
